prod01,images/samsung_galaxy_s6_gold_platinum.jpg,"Samsung Galaxy S6 Edge","16 Megapixel Camera, Touchscreen and GPS",600.00
prod02,images/Note5.jpg,"Samsung Galaxy Note 5","32 GB Unlocked GSM International Version",600.00
prod03,images/iPhone6.jpg,"Apple iPhone 6","Apple iPhone 6 16 GB Unlocked",$595.00
prod04,images/iPhone6plus.jpg,"Apple iPhone 6 Plus","Apple iPhone 6 Plus Unlocked Cellphone 16GB",700.00
prod05,images/iPhone6plusgold.jpg,"Apple iPhone 6 Plus Gold","Apple iPhone 6 Plus Gold Cellphone 16GB",730.00
prod06,images/Lumia435.jpg,"Lumia 435","Lumia 435 Windows Phone 8",90.00
prod07,images/Lumia535.jpg,"Lumia 535","Lumia 4535 Windows Phone 8",115.00
prod08,images/Lumia830.jpg,"Lumia 830","Lumia 830 Factory Unlocked International Version",250.00
prod09,images/Lumia940.jpg,"Lumia 940","Lumia 940 Factory Unlocked International Version",380.00
prod10,images/nexus6p.jpg,"Nexus 6p","Nexus 6p 64GB Aluminum Android 6.0",550.00
prod11,images/nexus5x.jpg,"Nexus 5x 16GB","Nexus 5x 16GB Unlocked Smartphone",349.00
prod12,images/nexus5x.jpg,"Nexus 5x 32GB","Nexus 5x 16GB Unlocked Smartphone",399.00
